flight,route,rows,duration_s,actual_energy_wh,predicted_energy_wh,actual_mean_power_w,predicted_mean_power_w,programmed_speed_mps,payload_kg,altitude_m,energy_error_wh,energy_abs_error_wh,energy_abs_percent_error
8,R1,1558,233.61999999999995,21.933727149264932,21.102397806633764,337.8366508066481,324.974002071457,4.0,0.0,25.0,-0.8313293426311681,0.8313293426311681,3.790187308220566
76,R1,1622,243.41999999999996,25.869232590813688,26.846998727586456,382.38521136132664,396.8392403450376,4.0,0.75,25.0,0.9777661367727681,0.9777661367727681,3.779648790664082
80,R1,1181,177.01999999999998,16.472684111307792,16.830309205373073,334.7809597227492,342.46390195029636,12.0,0.0,50.0,0.35762509406528054,0.35762509406528054,2.1710189526416417
81,R1,1194,179.11999999999998,20.808745267698797,21.114415393744512,418.1499537521903,424.17333957339196,6.0,0.0,75.0,0.3056701260457153,0.3056701260457153,1.4689503000462212
82,R1,1218,182.01999999999998,18.83203873271933,19.50646592220724,372.0721318053183,385.2373446307143,8.0,0.0,75.0,0.6744271894879112,0.6744271894879112,3.5812755010754196
95,R1,1066,159.81999999999996,19.059705325951715,18.958610881890145,429.5196796590923,426.69313147596904,10.0,0.5,50.0,-0.10109444406156953,0.10109444406156953,0.5304092709341064
96,R1,1341,201.11999999999995,25.54879636250529,25.920430141025054,457.6294249847806,464.01394308748087,6.0,0.5,75.0,0.3716337785197652,0.3716337785197652,1.4546038617504686
106,R1,1299,194.91999999999996,25.278959265394814,24.83174847683371,466.6762309194355,458.801201623562,10.0,0.5,100.0,-0.4472107885611045,0.4472107885611045,1.7691028489978455
110,R1,1628,245.91999999999996,25.50135008466465,25.705634043545118,373.36216558138113,376.1276535202746,4.0,0.0,75.0,0.2042839588804668,0.2042839588804668,0.8010711519282026
116,R1,902,135.01999999999998,14.042390037942434,14.23210438660511,374.2732855269922,379.7387407534368,12.0,0.0,25.0,0.189714348662676,0.189714348662676,1.3510118160090214
141,R1,1574,237.71999999999994,19.815073910845175,19.20223314344612,302.2295850275328,292.92260403557304,12.0,0.0,75.0,-0.6128407673990566,0.6128407673990566,3.0928008149575303
156,R1,1447,217.21999999999994,28.9931568072407,27.579470938110287,480.4927596297921,457.0524976623621,4.0,0.5,50.0,-1.4136858691304148,1.4136858691304148,4.875929442693054
158,R1,1127,169.01999999999998,20.188246781662436,19.602940686967585,429.30764809133484,417.24336727411185,12.0,0.25,75.0,-0.5853060946948503,0.5853060946948503,2.8992418263209494
164,R1,1287,193.21999999999997,20.19500612078726,20.501140870793595,376.3341650715107,382.2871462582937,10.0,0.0,100.0,0.3061347500063363,0.3061347500063363,1.515893326178414
167,R1,951,142.62999999999997,15.990443194689036,15.639459474139702,404.2528639802686,394.5993968043859,10.0,0.5,25.0,-0.35098372054933336,0.35098372054933336,2.194959303353811
189,R1,988,148.01999999999998,15.126699261458576,15.640470705922395,368.6573112659027,380.7175542021761,8.0,0.25,25.0,0.5137714444638188,0.5137714444638188,3.3964544120531355
206,R1,1239,185.81999999999996,20.817552663444705,21.133775121561627,403.53560988149604,409.477056895226,8.0,0.25,75.0,0.31622245811692196,0.31622245811692196,1.5190184131115643
209,R1,1169,175.42,22.991752796661007,22.961678630913568,471.90108759695266,471.2517336618049,6.0,0.5,50.0,-0.030074165747439707,0.030074165747439707,0.13080414535340362
210,R1,1677,251.60999999999996,31.151562887535707,31.01152024599703,445.71059303304764,443.8048028713933,4.0,0.25,100.0,-0.14004264153867751,0.14004264153867751,0.44955253784300836
223,H,857,128.51999999999998,16.324065265920687,16.779646707238047,457.0042729077189,470.0238036872812,0.0,0.0,3.0,0.45558144131736,0.45558144131736,2.7908577544618445
224,H,1178,176.73,17.65738134979735,22.711338039059047,359.88287183845813,462.6366184465195,0.0,0.0,3.0,5.053956689261696,5.053956689261696,28.622345460753717
225,R1,1163,174.50999999999996,21.182234795872166,20.922462885326755,437.8835734102204,431.7085294644995,8.0,0.25,75.0,-0.2597719105454104,0.2597719105454104,1.226366873225448
229,R1,1053,158.01999999999998,15.359616852033433,15.853523415798561,350.2171490847874,361.19365117889583,10.0,0.0,50.0,0.49390656376512787,0.49390656376512787,3.2156177365826704
235,R1,943,141.51999999999998,15.066112850530757,15.228053361129717,383.5931546736696,387.6716618766469,12.0,0.5,25.0,0.16194051059895997,0.16194051059895997,1.0748659073880165
239,R1,1674,250.91999999999996,31.328462559749212,31.81855607651596,449.3700276755801,456.149117727853,4.0,0.5,75.0,0.4900935167667484,0.4900935167667484,1.564371426883936
243,R1,1619,242.81999999999994,25.011510277460783,25.089720526038203,370.432073285027,371.78998306519827,4.0,0.5,25.0,0.07821024857742032,0.07821024857742032,0.3126970251288655
252,R1,1286,193.12999999999997,21.27292736266245,21.10701640879308,396.8870036239425,393.2841278120863,12.0,0.5,75.0,-0.16591095386937127,0.16591095386937127,0.7799159515797189
262,R1,1149,172.62999999999997,18.646332831816157,18.214929269578665,388.68571208843343,379.5732874566058,10.0,0.0,75.0,-0.43140356223749166,0.43140356223749166,2.31361075729266
264,R1,1515,227.21999999999994,24.936027803909443,25.711378263219128,395.0123530799513,407.3747554210739,6.0,0.25,100.0,0.7753504593096849,0.7753504593096849,3.109358336487443
272,R6,2856,428.4099999999999,37.87563786362108,39.67362090848276,318.3052535471858,333.45987571705007,4.0,0.25,50.0,1.797983044861681,1.797983044861681,4.747070006677336
