flight,route,rows,duration_s,actual_energy_wh,predicted_energy_wh,tcn_predicted_energy_wh,actual_mean_power_w,predicted_mean_power_w,tcn_predicted_mean_power_w,programmed_speed_mps,payload_kg,altitude_m,energy_error_wh,energy_abs_error_wh,energy_abs_percent_error
8,R1,1558,233.61999999999995,21.933727149264932,22.092128636683785,21.051659692806584,337.8366508066481,340.3230905825192,324.2678073643453,4.0,0.0,25.0,0.1584014874188533,0.1584014874188533,0.7221822645138622
76,R1,1622,243.41999999999996,25.869232590813688,25.72606245403936,26.725776144790565,382.38521136132664,380.31423350483726,395.04435528976575,4.0,0.75,25.0,-0.14317013677432655,0.14317013677432655,0.5534378968209791
80,R1,1181,177.01999999999998,16.472684111307792,16.471656293776398,16.587783106613095,334.7809597227492,334.9786800782912,337.33450747508044,12.0,0.0,50.0,-0.0010278175313942484,0.0010278175313942484,0.0062395267489449135
81,R1,1194,179.11999999999998,20.808745267698797,20.53479965347801,20.838940935516295,418.1499537521903,412.59513308137605,418.7502256708543,6.0,0.0,75.0,-0.27394561422078567,0.27394561422078567,1.3164927086979563
82,R1,1218,182.01999999999998,18.83203873271933,18.605170953033664,19.385601693259286,372.0721318053183,367.4201806831371,382.8786674247373,8.0,0.0,75.0,-0.22686777968566574,0.22686777968566574,1.204690489997236
95,R1,1066,159.81999999999996,19.059705325951715,18.822534418768157,18.905094385613282,429.5196796590923,424.28200257421764,426.1747106648415,10.0,0.5,50.0,-0.2371709071835575,0.2371709071835575,1.2443576809166368
96,R1,1341,201.11999999999995,25.54879636250529,25.552158002965985,25.574528870222238,457.6294249847806,457.455357607789,457.7982356669404,6.0,0.5,75.0,0.0033616404606959804,0.0033616404606959804,0.013157725369909917
106,R1,1299,194.91999999999996,25.278959265394814,25.12716339722794,24.804713571336467,466.6762309194355,464.17226998530526,458.15405034100075,10.0,0.5,100.0,-0.15179586816687518,0.15179586816687518,0.6004830601340201
110,R1,1628,245.91999999999996,25.50135008466465,25.502103109215792,25.300058102925544,373.36216558138113,372.93541609492877,369.9821890572066,4.0,0.0,75.0,0.0007530245511411238,0.0007530245511411238,0.00295288111665099
116,R1,902,135.01999999999998,14.042390037942434,13.954934731699995,14.06732404297718,374.2732855269922,372.5401407350488,375.49185680299337,12.0,0.0,25.0,-0.08745530624243969,0.08745530624243969,0.6227950228282799
141,R1,1574,237.71999999999994,19.815073910845175,19.80498953545507,19.564832830217068,302.2295850275328,302.10107853815566,298.2540967940661,12.0,0.0,75.0,-0.010084375390103872,0.010084375390103872,0.05089244398217711
156,R1,1447,217.21999999999994,28.9931568072407,28.997009928635013,27.54494476954135,480.4927596297921,480.600566864095,456.5903753208984,4.0,0.5,50.0,0.003853121394310932,0.003853121394310932,0.013289761511408305
158,R1,1127,169.01999999999998,20.188246781662436,20.11651936792791,19.495908238559238,429.30764809133484,428.13087777142323,414.92860400661937,12.0,0.25,75.0,-0.07172741373452496,0.07172741373452496,0.35529293113098376
164,R1,1287,193.21999999999997,20.19500612078726,20.50641424391259,20.29614195429477,376.3341650715107,382.19218310356797,378.32900616390833,10.0,0.0,100.0,0.3114081231253323,0.3114081231253323,1.5420055892173836
167,R1,951,142.62999999999997,15.990443194689036,15.868851141742665,15.786177250374639,404.2528639802686,400.6433495934521,398.55411777273395,10.0,0.5,25.0,-0.12159205294637054,0.12159205294637054,0.7604045207874874
189,R1,988,148.01999999999998,15.126699261458576,14.91763064013886,15.389648638068259,368.6573112659027,363.1352969921334,374.62919730204504,8.0,0.25,25.0,-0.20906862131971593,0.20906862131971593,1.3821165986449095
206,R1,1239,185.81999999999996,20.817552663444705,20.858827138703177,20.827728152296224,403.53560988149604,404.51735504196773,403.8797719996021,8.0,0.25,75.0,0.041274475258472165,0.041274475258472165,0.198267663474917
209,R1,1169,175.42,22.991752796661007,22.638500686312906,22.886329848395395,471.90108759695266,464.92152813689484,469.9594283898469,6.0,0.5,50.0,-0.35325211034810167,0.35325211034810167,1.5364296644638722
210,R1,1677,251.60999999999996,31.151562887535707,31.163594410024913,31.008764040628982,445.71059303304764,445.9753209089422,443.7669240190221,4.0,0.25,100.0,0.012031522489206026,0.012031522489206026,0.03862253246375658
223,H,857,128.51999999999998,16.324065265920687,17.40183100094261,16.509172792053178,457.0042729077189,487.43548207701286,462.4565576662777,0.0,0.0,3.0,1.0777657350219236,1.0777657350219236,6.602312092392489
224,H,1178,176.73,17.65738134979735,22.100654494052403,22.348461292097245,359.88287183845813,450.2836272156197,455.26206209677423,0.0,0.0,3.0,4.443273144255052,4.443273144255052,25.163828408259675
225,R1,1163,174.50999999999996,21.182234795872166,21.08535520941494,20.835759633043025,437.8835734102204,435.0682841934222,429.9013097472382,8.0,0.25,75.0,-0.09687958645722716,0.09687958645722716,0.4573624425884767
229,R1,1053,158.01999999999998,15.359616852033433,15.366391040121286,15.586550289069232,350.2171490847874,350.1976678015536,355.17168269288226,10.0,0.0,50.0,0.006774188087852906,0.006774188087852906,0.04410388718098839
235,R1,943,141.51999999999998,15.066112850530757,15.10449043220555,15.30907503619719,383.5931546736696,384.4633403150583,389.6784726212089,12.0,0.5,25.0,0.03837758167479244,0.03837758167479244,0.25472782565438207
239,R1,1674,250.91999999999996,31.328462559749212,31.64110401835178,31.678323469119515,449.3700276755801,453.71282838236857,454.28223384626045,4.0,0.5,75.0,0.31264145860256676,0.31264145860256676,0.9979470202417412
243,R1,1619,242.81999999999994,25.011510277460783,24.962123097783994,25.503183536105603,370.432073285027,369.8791849258153,377.9191271074738,4.0,0.5,25.0,-0.049387179676788406,0.049387179676788406,0.19745780694136592
252,R1,1286,193.12999999999997,21.27292736266245,21.268374720285326,21.21920602294068,396.8870036239425,396.351963530853,395.4576088347278,12.0,0.5,75.0,-0.004552642377124272,0.004552642377124272,0.021401109022329112
262,R1,1149,172.62999999999997,18.646332831816157,18.510450052554187,18.045589306047166,388.68571208843343,385.87038041360574,376.21476012541336,10.0,0.0,75.0,-0.13588277926196923,0.13588277926196923,0.7287372830228207
264,R1,1515,227.21999999999994,24.936027803909443,24.87441345978899,25.65100858370456,395.0123530799513,393.93760333642314,406.2841156895716,6.0,0.25,100.0,-0.061614344120453524,0.061614344120453524,0.24708965118652015
272,R6,2856,428.4099999999999,37.87563786362108,37.549689410344186,38.1617247897253,318.3052535471858,315.6066580759072,320.7548192619352,4.0,0.25,50.0,-0.3259484532768937,0.3259484532768937,0.8605754824526977
