phase,tcn_window_seconds,tcn_window_steps,candidate,forgetting_factor,initial_covariance,warmup_seconds,val_sample_power_wape,val_flight_energy_wape,selection_score
stage2_rls,1.0,8,rls_ff0.95_cov100_warmup0.5s,0.95,100.0,0.5,7.089285292814014,0.4660725865892644,1.8839296451520675
stage2_rls,1.0,8,rls_ff0.95_cov100_warmup1s,0.95,100.0,1.0,7.017003887049047,0.5243889564815046,1.9277897338913141
stage2_rls,1.0,8,rls_ff0.95_cov100_warmup2s,0.95,100.0,2.0,6.986983531458149,0.45774240744589556,1.8551391137375255
stage2_rls,1.0,8,rls_ff0.95_cov500_warmup0.5s,0.95,500.0,0.5,7.093901980706277,0.4753970391207808,1.8941774352620362
stage2_rls,1.0,8,rls_ff0.95_cov500_warmup1s,0.95,500.0,1.0,7.044685759464206,0.46687570287533114,1.8758128547681725
stage2_rls,1.0,8,rls_ff0.95_cov500_warmup2s,0.95,500.0,2.0,7.007163380064317,0.48595730529121695,1.8873899813040804
stage2_rls,1.0,8,rls_ff0.95_cov1000_warmup0.5s,0.95,1000.0,0.5,7.09294312486797,0.4752664186985516,1.8938550436721457
stage2_rls,1.0,8,rls_ff0.95_cov1000_warmup1s,0.95,1000.0,1.0,7.044327741146973,0.46837233754295815,1.8772378857723528
stage2_rls,1.0,8,rls_ff0.95_cov1000_warmup2s,0.95,1000.0,2.0,6.989900971899229,0.4578779083825631,1.855858102762409
stage2_rls,1.0,8,rls_ff0.95_cov5000_warmup0.5s,0.95,5000.0,0.5,7.05489440471739,0.5881988829087307,1.999177763852209
stage2_rls,1.0,8,rls_ff0.95_cov5000_warmup1s,0.95,5000.0,1.0,7.044863189524599,0.4707286831956009,1.8797013211005207
stage2_rls,1.0,8,rls_ff0.95_cov5000_warmup2s,0.95,5000.0,2.0,7.000636340268097,0.4846230769634769,1.8847503450170966
stage2_rls,1.0,8,rls_ff0.97_cov100_warmup0.5s,0.97,100.0,0.5,6.81239164681739,0.30574028173320444,1.6682186110966826
stage2_rls,1.0,8,rls_ff0.97_cov100_warmup1s,0.97,100.0,1.0,6.806797603177274,0.29232050229346046,1.6536800229289155
stage2_rls,1.0,8,rls_ff0.97_cov100_warmup2s,0.97,100.0,2.0,6.841056390008199,0.3472021846541887,1.7154134626558286
stage2_rls,1.0,8,rls_ff0.97_cov500_warmup0.5s,0.97,500.0,0.5,6.90613313357796,0.41130382163727325,1.7925304483528655
stage2_rls,1.0,8,rls_ff0.97_cov500_warmup1s,0.97,500.0,1.0,6.8785001666671315,0.3683918367316155,1.7440918700650418
stage2_rls,1.0,8,rls_ff0.97_cov500_warmup2s,0.97,500.0,2.0,6.815941754749651,0.2899762232435825,1.6531645741935128
stage2_rls,1.0,8,rls_ff0.97_cov1000_warmup0.5s,0.97,1000.0,0.5,6.904985763294704,0.4118333223273448,1.7928304749862858
stage2_rls,1.0,8,rls_ff0.97_cov1000_warmup1s,0.97,1000.0,1.0,6.877813383081537,0.3696593672207603,1.7452220438370678
stage2_rls,1.0,8,rls_ff0.97_cov1000_warmup2s,0.97,1000.0,2.0,6.81917788965298,0.2979537440889979,1.661789322019594
stage2_rls,1.0,8,rls_ff0.97_cov5000_warmup0.5s,0.97,5000.0,0.5,6.857059834658073,0.34301829616152035,1.714430263093135
stage2_rls,1.0,8,rls_ff0.97_cov5000_warmup1s,0.97,5000.0,1.0,6.8779047322509514,0.3718685956961465,1.747449542146337
stage2_rls,1.0,8,rls_ff0.97_cov5000_warmup2s,0.97,5000.0,2.0,6.8130748212427665,0.29187996475563827,1.6544949290041917
stage2_rls,1.0,8,rls_ff0.98_cov100_warmup0.5s,0.98,100.0,0.5,6.817130807807128,0.30750167478378587,1.6709278363452116
stage2_rls,1.0,8,rls_ff0.98_cov100_warmup1s,0.98,100.0,1.0,6.8183427685916635,0.30788977623602976,1.6715583299543626
stage2_rls,1.0,8,rls_ff0.98_cov100_warmup2s,0.98,100.0,2.0,6.84823112934901,0.30520872635461094,1.674854952224413
stage2_rls,1.0,8,rls_ff0.98_cov500_warmup0.5s,0.98,500.0,0.5,6.915070920990077,0.42736537034252986,1.8103795545405452
stage2_rls,1.0,8,rls_ff0.98_cov500_warmup1s,0.98,500.0,1.0,6.925204974216816,0.3849621234293639,1.7700031182727272
stage2_rls,1.0,8,rls_ff0.98_cov500_warmup2s,0.98,500.0,2.0,6.8728919197394225,0.3244525528277705,1.6990309367756553
stage2_rls,1.0,8,rls_ff0.98_cov1000_warmup0.5s,0.98,1000.0,0.5,6.915092904143844,0.4289166014820613,1.8119351823108303
stage2_rls,1.0,8,rls_ff0.98_cov1000_warmup1s,0.98,1000.0,1.0,6.925226738887415,0.3868578921350093,1.7719032399124925
stage2_rls,1.0,8,rls_ff0.98_cov1000_warmup2s,0.98,1000.0,2.0,6.865686973237336,0.32173144539912163,1.694868840046589
stage2_rls,1.0,8,rls_ff0.98_cov5000_warmup0.5s,0.98,5000.0,0.5,6.936090193322704,0.4771582101639684,1.8643762488285092
stage2_rls,1.0,8,rls_ff0.98_cov5000_warmup1s,0.98,5000.0,1.0,6.925782474586422,0.3895499139123838,1.774706408829668
stage2_rls,1.0,8,rls_ff0.98_cov5000_warmup2s,0.98,5000.0,2.0,6.868469068059557,0.3239453378758765,1.697639151487788
stage2_rls,1.0,8,rls_ff0.99_cov100_warmup0.5s,0.99,100.0,0.5,6.959793866803557,0.3285463785377779,1.7205051518984895
stage2_rls,1.0,8,rls_ff0.99_cov100_warmup1s,0.99,100.0,1.0,6.961030149933693,0.3276104161690266,1.7198164461557652
stage2_rls,1.0,8,rls_ff0.99_cov100_warmup2s,0.99,100.0,2.0,6.963324073243839,0.32594658860709597,1.718611403255864
stage2_rls,1.0,8,rls_ff0.99_cov500_warmup0.5s,0.99,500.0,0.5,7.063070787345227,0.4774863076695156,1.890100465138561
stage2_rls,1.0,8,rls_ff0.99_cov500_warmup1s,0.99,500.0,1.0,7.059574202067901,0.47572986285992536,1.8876447032735055
stage2_rls,1.0,8,rls_ff0.99_cov500_warmup2s,0.99,500.0,2.0,7.003029063193766,0.3582497427183924,1.7588555553571457
stage2_rls,1.0,8,rls_ff0.99_cov1000_warmup0.5s,0.99,1000.0,0.5,7.064093392199579,0.48128763345442027,1.8941063118943362
stage2_rls,1.0,8,rls_ff0.99_cov1000_warmup1s,0.99,1000.0,1.0,7.060928792800052,0.47929945469597396,1.8914852132559843
stage2_rls,1.0,8,rls_ff0.99_cov1000_warmup2s,0.99,1000.0,2.0,6.973756183446074,0.33222295648408273,1.7269741931732976
stage2_rls,1.0,8,rls_ff0.99_cov5000_warmup0.5s,0.99,5000.0,0.5,7.121733509487338,0.554682257562637,1.9790289594601047
stage2_rls,1.0,8,rls_ff0.99_cov5000_warmup1s,0.99,5000.0,1.0,7.0631589425187284,0.48445170334971316,1.897083491853459
stage2_rls,1.0,8,rls_ff0.99_cov5000_warmup2s,0.99,5000.0,2.0,6.975048659823872,0.3324818997782734,1.727491631743048
stage2_rls,1.0,8,rls_ff0.995_cov100_warmup0.5s,0.995,100.0,0.5,7.070305776983794,0.40549093574556533,1.8195520911423242
stage2_rls,1.0,8,rls_ff0.995_cov100_warmup1s,0.995,100.0,1.0,7.071347189676461,0.40342905095322745,1.8176984888885197
stage2_rls,1.0,8,rls_ff0.995_cov100_warmup2s,0.995,100.0,2.0,7.073767623483969,0.3983237529169909,1.8130772776137847
stage2_rls,1.0,8,rls_ff0.995_cov500_warmup0.5s,0.995,500.0,0.5,7.234766116801781,0.6897463636312386,2.136699586991595
stage2_rls,1.0,8,rls_ff0.995_cov500_warmup1s,0.995,500.0,1.0,7.174236529648614,0.6067229079753423,2.0415702139050653
stage2_rls,1.0,8,rls_ff0.995_cov500_warmup2s,0.995,500.0,2.0,7.083088968281465,0.42863656861294236,1.8452543622692354
stage2_rls,1.0,8,rls_ff0.995_cov1000_warmup0.5s,0.995,1000.0,0.5,7.236793609556008,0.6955750464658598,2.1429337683770613
stage2_rls,1.0,8,rls_ff0.995_cov1000_warmup1s,0.995,1000.0,1.0,7.176642408483256,0.6132075044158285,2.04853598611248
stage2_rls,1.0,8,rls_ff0.995_cov1000_warmup2s,0.995,1000.0,2.0,7.0900915081775056,0.4277163549163238,1.8457346565518251
stage2_rls,1.0,8,rls_ff0.995_cov5000_warmup0.5s,0.995,5000.0,0.5,7.266245555899281,0.6922308097452493,2.1454799209251054
stage2_rls,1.0,8,rls_ff0.995_cov5000_warmup1s,0.995,5000.0,1.0,7.180241327226733,0.6204728211649799,2.056521086610327
stage2_rls,1.0,8,rls_ff0.995_cov5000_warmup2s,0.995,5000.0,2.0,7.09195134684682,0.4357376712126739,1.854127940582038
stage2_rls,1.0,8,rls_ff0.999_cov100_warmup0.5s,0.999,100.0,0.5,7.111788232471383,0.5439687570545311,1.9663264035488077
stage2_rls,1.0,8,rls_ff0.999_cov100_warmup1s,0.999,100.0,1.0,7.113986488442928,0.54249233055886,1.9652896282474457
stage2_rls,1.0,8,rls_ff0.999_cov100_warmup2s,0.999,100.0,2.0,7.118113998335142,0.5279173131946533,1.9515401128616818
stage2_rls,1.0,8,rls_ff0.999_cov500_warmup0.5s,0.999,500.0,0.5,7.281865817486222,0.9257110907345227,2.382084254231767
stage2_rls,1.0,8,rls_ff0.999_cov500_warmup1s,0.999,500.0,1.0,7.193819605986533,0.8344599021879917,2.2732238233852984
stage2_rls,1.0,8,rls_ff0.999_cov500_warmup2s,0.999,500.0,2.0,7.103884276481759,0.6106870627825463,2.0314639180788983
stage2_rls,1.0,8,rls_ff0.999_cov1000_warmup0.5s,0.999,1000.0,0.5,7.279579629332926,0.9566121836619886,2.4125281095285738
stage2_rls,1.0,8,rls_ff0.999_cov1000_warmup1s,0.999,1000.0,1.0,7.1923824833057575,0.8671526504150647,2.3056291470762162
