phase,candidate,name,model_type,window_seconds,window_steps,channels,kernel_size,dropout,learning_rate,weight_decay,huber_delta,target_mean,target_std,best_val_loss,val_tcn_sample_power_wape,val_tcn_flight_energy_wape,tcn_selection_score,epochs_run
stage1_tcn_window,tcn_rls_window_0.4s,tcn_rls_window_0.4s,tcn_rls,0.4,3,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.021605902281859383,7.631986213945612,1.7890186458066524,3.3154158885957745,50
stage1_tcn_window,tcn_rls_window_0.6s,tcn_rls_window_0.6s,tcn_rls,0.6,5,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.02030143854023842,7.319000944554163,2.085463662303868,3.549263851214701,50
stage1_tcn_window,tcn_rls_window_0.8s,tcn_rls_window_0.8s,tcn_rls,0.8,7,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.020102129557886768,7.284739637923413,2.0097646775679228,3.4667126051526056,50
stage1_tcn_window,tcn_rls_window_1s,tcn_rls_window_1s,tcn_rls,1.0,8,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.02026813328084533,7.302965318316129,1.628784759240252,3.089377822903478,50
stage1_tcn_window,tcn_rls_window_1.2s,tcn_rls_window_1.2s,tcn_rls,1.2,10,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.019956255162510473,7.327600888946641,1.8816631454497197,3.347183323239048,50
stage1_tcn_window,tcn_rls_window_1.5s,tcn_rls_window_1.5s,tcn_rls,1.5,12,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.019673187423231833,7.2457039493410935,1.7944290426670266,3.243569832535245,50
stage1_tcn_window,tcn_rls_window_2s,tcn_rls_window_2s,tcn_rls,2.0,17,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.020055692999338248,7.222467297634408,2.076752977034112,3.521246436560994,50
stage1_tcn_window,tcn_rls_window_2.5s,tcn_rls_window_2.5s,tcn_rls,2.5,21,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.01989423436845388,7.321176054700095,1.7451978352789488,3.209433046218968,50
stage1_tcn_window,tcn_rls_window_3s,tcn_rls_window_3s,tcn_rls,3.0,25,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.02042547826865764,7.258321789777017,2.269868510158468,3.7215328681138713,50
stage1_tcn_window,tcn_rls_window_4s,tcn_rls_window_4s,tcn_rls,4.0,33,"[64, 64, 64, 32]",3,0.08,0.0003,0.0001,0.65,405.4657897949219,236.27197265625,0.019882207727519426,7.282910235993306,1.79313099150029,3.2497130386989515,50
